Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C10,C11,C12,C13,C14,C15,C17,C18,C19,C2,C20,C21,C22,C4,C6,C7,C8,C9",C_0603,C14663,19
10kΩ,"R10,R11,R15,R16,R17,R18,R19,R2,R20,R22,R3,R38,R40,R42,R44,R6,R8,R9",R_0402,C25744,18
10uF,"C3,C5",C_0603,C19702,2
120Ω,"R25,R28",R_0603,C22787,2
200kΩ,R7,R_0402,C25764,1
330Ω,"R12,R13,R14,R21,R37,R39,R41,R43,R45,R46,R47,R48,R49,R5,R50,R51,R52",R_0402,C25104,17
510Ω,"R23,R24,R26,R27",R_0603,C23193,4
AMS1117,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
MAX13487EESA,"U15,U6",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C18347,2
PCA9306DCUR,U9,SSOP-8_L2.0-W2.3-P0.50-LS3.1-BR,C33196,1
Red,"D10,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25,D26,D6,D7,D8,D9",D_0603,C2286,17
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
TCA9535PWR_C130204,U13,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,C130204,1
TXU0104PWR,"U10,U11,U12,U4,U5,U8",TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,C2938871,6
Conn_01x02_Pin,J10,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x04_Pin,J9,PinSocket_1x04_P2.54mm_Vertical,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
Conn_01x03_Pin,J5,PinSocket_1x03_P2.54mm_Horizontal,,1
Conn_01x02_Pin,J3,PinSocket_1x02_P2.54mm_Vertical,,1
~,H8,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J15,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
~,H7,Hole_Tooling_JLCPCB,,1
Conn_01x03_Pin,J14,PinSocket_1x03_P2.54mm_Horizontal,,1
Conn_01x04_Pin,J11,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x06_Pin,J7,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,,1
~,H9,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J6,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
