Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,133.175,-101.8625,180.0,top
C10,100nF,C_0603,162.15,-128.6,90.0,top
C11,100nF,C_0603,112.2,-111.4,90.0,top
C12,100nF,C_0603,125.8,-115.42,90.0,top
C13,100nF,C_0603,130.0,-126.8,0.0,top
C14,100nF,C_0603,143.9,-115.4,90.0,top
C15,100nF,C_0603,114.2,-121.6,-90.0,top
C17,100nF,C_0603,115.2,-128.2,180.0,top
C18,100nF,C_0603,147.8,-121.42,-90.0,top
C19,100nF,C_0603,148.0,-126.6,0.0,top
C2,100nF,C_0603,96.0,-127.0,-90.0,top
C20,100nF,C_0603,132.3,-121.4,-90.0,top
C21,100nF,C_0603,132.3,-125.4,90.0,top
C22,100nF,C_0603,110.6,-126.45,0.0,top
C3,10uF,C_0603,166.547694,-95.908667,0.0,top
C4,100nF,C_0603,159.75,-124.4,-90.0,top
C5,10uF,C_0603,166.56,-98.2,0.0,top
C6,100nF,C_0603,130.05,-121.4,-90.0,top
C7,100nF,C_0603,159.75,-128.6,90.0,top
C8,100nF,C_0603,162.15,-124.2,-90.0,top
C9,100nF,C_0603,110.6,-121.45,0.0,top
D10,Red,D_0603,85.71,-117.9,0.0,top
D15,Red,D_0603,85.69,-104.833333,0.0,top
D16,Red,D_0603,85.69,-106.7,0.0,top
D17,Red,D_0603,85.71,-123.5,0.0,top
D18,Red,D_0603,85.7,-101.1,0.0,top
D19,Red,D_0603,85.69,-102.966667,0.0,top
D20,Red,D_0603,85.71,-95.5,0.0,top
D21,Red,D_0603,85.71,-121.633333,0.0,top
D22,Red,D_0603,85.8,-119.7,0.0,top
D23,Red,D_0603,85.73,-112.3,0.0,top
D24,Red,D_0603,85.7,-110.433333,0.0,top
D25,Red,D_0603,85.7,-116.033333,0.0,top
D26,Red,D_0603,85.71,-114.166667,0.0,top
D6,Red,D_0603,176.19,-97.6,0.0,top
D7,Red,D_0603,85.7,-97.366667,0.0,top
D8,Red,D_0603,85.69,-108.566667,0.0,top
D9,Red,D_0603,85.7,-99.233333,0.0,top
G***,LOGO,QR,106.25,-117.55,0.0,bottom
H1,M2.5 Mount,MountingHole_2.7mm_M2.5_DIN965_Pad_TopOnly,82.0,-92.0,0.0,top
H2,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-134.0,0.0,top
H3,M2.5 mount,MountingHole_2.7mm_M2.5,82.0,-134.0,0.0,top
H4,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-92.0,0.0,top
H5,M2.5 mount,MountingHole_2.7mm_M2.5,103.0,-94.0,0.0,top
H6,M2.5 mount,MountingHole_2.7mm_M2.5,153.0,-94.0,0.0,top
H7,~,Hole_Tooling_JLCPCB,79.4,-130.4,0.0,top
H8,~,Hole_Tooling_JLCPCB,169.7,-90.3,0.0,top
H9,~,Hole_Tooling_JLCPCB,85.337849,-89.057177,0.0,top
J1,Chainbus in,PinHeader_2x16_P2.54mm_Vertical_SMD,127.99,-95.538272,270.0,bottom
J10,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,149.6,-129.6,-90.0,top
J11,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,126.75,-134.2,0.0,top
J14,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Horizontal,171.8,-116.01,180.0,top
J15,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,143.05,-134.2,0.0,top
J2,Chainbus Out,PinSocket_2x16_P2.54mm_Vertical_SMD,128.0,-95.558272,90.0,top
J3,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,131.4,-129.4,-90.0,top
J4,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,94.15,-134.2,0.0,top
J5,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Horizontal,171.8,-126.61,180.0,top
J6,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,110.45,-134.2,0.0,top
J7,Conn_01x06_Pin,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,161.85,-134.2,0.0,top
J9,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,151.2,-122.2,0.0,top
R10,10kΩ,R_0402,136.1,-113.0,0.0,top
R11,10kΩ,R_0402,120.0,-119.4,0.0,top
R12,330Ω,R_0402,88.315,-108.571333,180.0,top
R13,330Ω,R_0402,88.325,-99.234667,180.0,top
R14,330Ω,R_0402,88.335,-117.908,180.0,top
R15,10kΩ,R_0402,111.1,-118.6,180.0,top
R16,10kΩ,R_0402,133.1,-107.5,-90.0,top
R17,10kΩ,R_0402,131.1,-110.5,-90.0,top
R18,10kΩ,R_0402,163.9,-121.6,180.0,top
R19,10kΩ,R_0402,100.2,-125.2,0.0,top
R2,10kΩ,R_0402,150.8,-115.7,0.0,top
R20,10kΩ,R_0402,157.9,-117.9,0.0,top
R21,330Ω,R_0402,173.6,-97.6,0.0,top
R22,10kΩ,R_0402,130.4,-102.6,-90.0,top
R23,510Ω,R_0603,119.6,-118.2,180.0,top
R24,510Ω,R_0603,137.735,-118.0,180.0,top
R25,120Ω,R_0603,122.42,-118.2,180.0,top
R26,510Ω,R_0603,125.2,-118.2,180.0,top
R27,510Ω,R_0603,142.975,-118.0,180.0,top
R28,120Ω,R_0603,140.355,-118.0,180.0,top
R3,10kΩ,R_0402,159.5,-120.8,180.0,top
R37,330Ω,R_0402,88.315,-104.836667,180.0,top
R38,10kΩ,R_0402,116.7,-103.4,0.0,top
R39,330Ω,R_0402,88.315,-106.704,180.0,top
R40,10kΩ,R_0402,114.9,-104.8,-90.0,top
R41,330Ω,R_0402,88.325,-123.51,180.0,top
R42,10kΩ,R_0402,114.7,-116.7,-90.0,top
R43,330Ω,R_0402,88.325,-101.102,180.0,top
R44,10kΩ,R_0402,127.5,-102.1,0.0,top
R45,330Ω,R_0402,88.315,-102.969333,180.0,top
R46,330Ω,R_0402,88.335,-95.5,180.0,top
R47,330Ω,R_0402,88.335,-121.642667,180.0,top
R48,330Ω,R_0402,88.4,-119.7,180.0,top
R49,330Ω,R_0402,88.335,-112.306,180.0,top
R5,330Ω,R_0402,88.325,-97.367333,180.0,top
R50,330Ω,R_0402,88.335,-110.438667,180.0,top
R51,330Ω,R_0402,88.335,-116.040667,180.0,top
R52,330Ω,R_0402,88.335,-114.173333,180.0,top
R6,10kΩ,R_0402,153.4,-130.2,-90.0,top
R7,200kΩ,R_0402,109.8,-128.05,-90.0,top
R8,10kΩ,R_0402,107.6,-128.45,-90.0,top
R9,10kΩ,R_0402,107.6,-126.45,90.0,top
U1,SN74CB3Q3384APW,TSSOP-24_4.4x7.8mm_P0.65mm,138.8,-105.0,90.0,top
U10,TXU0104PWR,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,144.2,-123.42,180.0,top
U11,TXU0104PWR,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,126.4,-123.6,180.0,top
U12,TXU0104PWR,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,135.9,-123.4,0.0,top
U13,TCA9535PWR_C130204,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,107.6,-109.4,180.0,top
U15,MAX13487EESA,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,140.5,-113.6,180.0,top
U2,M24C64,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,91.6,-128.0,-90.0,top
U3,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,160.585,-98.2,0.0,top
U4,TXU0104PWR,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,156.15,-126.4,180.0,top
U5,TXU0104PWR,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,165.75,-126.4,0.0,top
U6,MAX13487EESA,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,122.4,-113.6,180.0,top
U8,TXU0104PWR,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,118.0,-123.6,0.0,top
U9,PCA9306DCUR,SSOP-8_L2.0-W2.3-P0.50-LS3.1-BR,109.25,-124.0,90.0,top
